                                      
<tr><td>12:d8:96:9f:6c:46</td> <td>192.168.0.179</td> <td>A52-pol-zovatela-Elina</td></tr>
<tr><td>b8:4d:43:d5:5d:c9</td> <td>192.168.0.8</td> <td>capsulamini</td></tr>
<tr><td>d2:98:db:f3:18:f3</td> <td>192.168.0.23</td> <td>git23</td></tr>
<tr><td>c0:3d:03:80:1c:0b</td> <td>192.168.0.48</td> <td>brj-tab6s</td></tr>
<tr><td>bc:2d:ef:20:b0:dd</td> <td>192.168.0.50</td> <td>brj-realme6</td></tr>
<tr><td>60:a4:b7:09:4c:18</td> <td>192.168.0.3</td> <td>r-ax50</td></tr>
<tr><td>f8:a2:d6:d7:c8:eb</td> <td>192.168.0.119</td> <td>brj-s330</td></tr>
<tr><td>1e:66:52:97:c3:e6</td> <td>192.168.0.11</td> <td>jump23</td></tr>
<tr><td>f4:26:79:fc:d4:0b</td> <td>192.168.0.222</td> <td>brj-lk</td></tr>
<tr><td>b4:22:00:24:41:59</td> <td>192.168.0.9</td> <td>brnb42200244159</td></tr>
<tr><td>94:08:53:47:17:05</td> <td>192.168.0.111</td> <td>brj-d16</td></tr>
<tr><td>5e:df:bf:97:1e:9a</td> <td>192.168.0.24</td> <td>dc24</td></tr>
<tr><td>0e:f5:67:4d:13:6a</td> <td>192.168.0.41</td> <td>f23</td></tr>
<tr><td>1e:3a:5b:51:4b:b9</td> <td>192.168.0.27</td> <td>mailo</td></tr>
<tr><td>52:87:e5:66:70:aa</td> <td>192.168.0.10</td> <td>baza</td></tr>
<tr><td>18:69:d4:de:6f:df</td> <td>192.168.0.51</td> <td>brj-a53</td></tr>
<tr><td>a0:d7:95:61:5f:bc</td> <td>192.168.0.49</td> <td>brj-iphonese</td></tr>
<tr><td>5e:6e:57:b0:77:e6</td> <td>192.168.0.171</td> <td>synctest</td></tr>
